scenario,protocol,vehicles,created,delivered,pdr,lat_avg_ms,overhead,emg_t50,emg_t90,emg_t99
Highway,BGKP,10,155,109,0.7032,16021.4,539.74,164.0,586.0,618.0
Highway,BGKP,20,472,363,0.7691,14618.9,330.57,164.0,774.0,805.0
Highway,BGKP,30,1601,620,0.3873,9746.4,429.43,282.0,750.0,1039.0
Highway,BGKP,40,7460,2433,0.3261,7627.0,190.1,258.0,743.0,1180.0
Highway,BGKP,50,12020,3596,0.2992,6390.2,204.14,305.0,797.0,1985.0
Highway,BGKP,60,16570,5163,0.3116,6392.2,186.25,290.0,774.0,1391.0
Highway,BGKP,70,21486,6469,0.3011,5194.7,180.31,328.0,882.0,2375.0
Highway,BGKP,80,25953,7328,0.2824,4943.2,185.52,359.0,953.0,3031.0
Highway,BGKP,90,30880,7868,0.2548,4515.4,197.0,415.0,1118.0,2641.0
Highway,BGKP,100,35801,9188,0.2566,4350.7,186.28,383.0,1023.0,2539.0
Highway,DUMB,10,11584,4557,0.3934,350.6,10.16,94.0,164.0,265.0
Highway,DUMB,20,23361,14255,0.6102,344.7,6.72,94.0,507.0,726.0
Highway,DUMB,30,33817,19486,0.5762,343.2,7.11,226.0,719.0,976.0
Highway,DUMB,40,39569,22276,0.563,310.4,7.1,273.0,727.0,1008.0
Highway,DUMB,50,48403,22991,0.475,289.7,8.38,226.0,680.0,922.0
Highway,DUMB,60,54653,26852,0.4913,306.6,8.17,274.0,726.0,1070.0
Highway,DUMB,70,62512,26294,0.4206,282.9,9.32,281.0,735.0,1015.0
Highway,DUMB,80,65228,25182,0.3861,303.6,9.98,281.0,727.0,1071.0
Highway,DUMB,90,72737,27450,0.3774,308.2,10.47,304.0,789.0,1125.0
Highway,DUMB,100,76867,26356,0.3429,329.4,11.26,344.0,852.0,1211.0
Highway,FLUD,10,4760,580,0.1218,271.7,10.69,234.0,531.0,711.0
Highway,FLUD,20,9525,1417,0.1488,313.3,12.77,211.0,461.0,695.0
Highway,FLUD,30,14295,2141,0.1498,321.7,16.76,195.0,500.0,836.0
Highway,FLUD,40,19065,3092,0.1622,306.2,19.11,164.0,484.0,773.0
Highway,FLUD,50,23835,4177,0.1752,308.6,25.66,117.0,336.0,672.0
Highway,FLUD,60,28605,5635,0.197,308.1,25.9,94.0,406.0,758.0
Highway,FLUD,70,33375,6793,0.2035,302.2,30.18,101.0,351.0,601.0
Highway,FLUD,80,38150,8518,0.2233,317.7,31.36,101.0,313.0,648.0
Highway,FLUD,90,42930,10533,0.2454,335.4,33.35,86.0,297.0,625.0
Highway,FLUD,100,47698,13409,0.2811,354.9,37.03,70.0,273.0,617.0
