scenario,protocol,vehicles,created,delivered,pdr,lat_avg_ms,overhead,emg_t50,emg_t90,emg_t99
Urban,BGKP,10,2070,1362,0.658,14618.5,69.22,86.0,282.0,415.0
Urban,BGKP,20,5672,2583,0.4554,9990.5,87.12,140.0,399.0,641.0
Urban,BGKP,30,9660,4416,0.4571,9684.0,82.39,172.0,593.0,1047.0
Urban,BGKP,40,13446,6195,0.4607,8602.5,88.85,218.0,579.0,1453.0
Urban,BGKP,50,17270,7796,0.4514,8017.3,92.38,235.0,641.0,1227.0
Urban,BGKP,60,21462,9224,0.4298,7344.1,94.56,266.0,679.0,1383.0
Urban,BGKP,70,26309,11930,0.4535,6030.4,83.61,328.0,1226.0,2250.0
Urban,BGKP,80,30256,12979,0.429,6424.4,89.21,336.0,898.0,2539.0
Urban,BGKP,90,36105,15411,0.4268,5303.4,79.55,453.0,1296.0,3687.0
Urban,DUMB,10,8974,3430,0.3822,285.4,8.62,78.0,336.0,578.0
Urban,DUMB,20,14853,4266,0.2872,354.2,10.27,110.0,375.0,672.0
Urban,DUMB,30,20378,4296,0.2108,330.6,13.34,117.0,523.0,914.0
Urban,DUMB,40,25471,4712,0.185,334.4,14.63,148.0,492.0,781.0
Urban,DUMB,50,30884,5902,0.1911,334.1,13.92,141.0,531.0,820.0
Urban,DUMB,60,36402,6083,0.1671,313.4,15.81,187.0,563.0,929.0
Urban,DUMB,70,43871,8674,0.1977,305.7,14.13,171.0,633.0,968.0
Urban,DUMB,80,49948,9251,0.1852,306.0,15.0,211.0,641.0,977.0
Urban,DUMB,90,55554,10244,0.1844,340.1,15.25,211.0,602.0,914.0
Urban,FLUD,10,4760,1470,0.3088,260.4,5.6,250.0,312.0,414.0
Urban,FLUD,20,9525,3488,0.3662,301.5,9.75,226.0,367.0,484.0
Urban,FLUD,30,14295,4746,0.332,299.9,16.41,164.0,445.0,890.0
Urban,FLUD,40,19065,6423,0.3369,305.4,22.35,117.0,312.0,515.0
Urban,FLUD,50,23835,7971,0.3344,282.7,31.7,54.0,242.0,500.0
Urban,FLUD,60,28605,9741,0.3405,313.7,37.5,47.0,243.0,812.0
Urban,FLUD,70,33375,11180,0.335,355.6,46.85,47.0,328.0,742.0
Urban,FLUD,80,38151,12935,0.339,366.8,53.41,54.0,257.0,555.0
Urban,FLUD,90,42931,14845,0.3458,462.1,60.55,47.0,304.0,609.0
